Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Graham, TC Nicholas; Grundy, John; ",External requirements of groupware development tools,Engineering for Human-Computer Interaction (EHCI 1998),,,363-376,1998,Kluwer: Dordrecht
"Salleh, Norsaremah; Mendes, Emilia; Grundy, John; ",Empirical studies of pair programming for CS/SE teaching in higher education: A systematic literature review,IEEE Transactions on Software Engineering,37,4,509-525,2011,IEEE
"Mehra, Akhil; Grundy, John; Hosking, John; ","Supporting collaborative software design with a plug-in, web services-based architecture",Workshop on Directions in Software Engineering Environments (WoDiSEE) from Proceedings of the 26th International Conference on Software Engineering (ICSE’04),,,,2004,
"Grundy, John; Hosking, John; Mugridge, Rick; ",Coordinating distributed software development projects with integrated process modelling and enactment environments,Seventh IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises (WET ICE 1998),,,39-44,1998,IEEE
"Grundy, John; Panas, Thomas; Singh, Santokh; Stöckle, Hermann; ",An approach to developing web services with aspect-oriented component engineering,2003 Nordic Conference on Web Services (NCWS 2003),,,,2003,
"Maplesden, David; Hosking, John; Grundy, John; ",A visual language for design pattern modelling and instantiation,"Design Patterns Formalization Techniques, Toufik Taibi (Ed), Idea Group Inc., Hershey, USA, March 2007.",,,338-339,2007,Idea Publishing
"Dai, Xiaoling; Grundy, John; ","Architecture for a Component-based, Plug-in Micro-payment System","5th Asia-Pacific Web Conference (APWeb 2003), September 27-29 2003, Xi’an, China, Springer LNCS 2642, pp. 251-262.",,,251-262,2003,Springer
"Blagojevic, Rachel; Plimmer, Beryl; Grundy, John; Wang, Yong; ",A data collection tool for sketched diagrams,5th Eurographics conference on Sketch-Based Interfaces and Modeling,,,73-80,2008,Eurographics Association
"Plimmer, Beryl; Grundy, John; ",Beautifying sketching-based design tool content: issues and experiences,6th Australasian conference on User interface (AUIC2005),,,31-38,2005,"Australian Computer Society, Inc."
"Gianoutsos, Simon; Grundy, John; ",Collaborative work with the World Wide Web: adding CSCW support to a Web browser,Oz-CSCW 1996,96,,14-21,1996,
"Liu, Na; Hosking, John; Grundy, John; ",Maramatatau: Extending a domain specific visual language meta tool with a declarative constraint mechanism,2007 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2007),,,95-103,2007,IEEE
"Grundy, JC; ",Supporting aspect-oriented component-based systems engineering,11th International Conference on Software Engineering and Knowledge Engineering (SEKE1999),,,16-19,1999,
"Li, Yongqiang; Grundy, John; Amor, Robert; Hosking, John; ",A data mapping specification environment using a concrete business form-based metaphor,IEEE 2002 Symposia on Human Centric Computing Languages and Environments (HCC 2002).,,,158-166,2002,IEEE
"Dai, Xiaoling; Grundy, John; ",Three Kinds of E-wallets for a NetPay Micro-payment System,2004 International Conference on Web Information Systems (WISE 2004),,,66-77,2004,Springer Berlin/Heidelberg
"Hosking, JG; Fenwick, Stephen; Mugridge, WB; Grundy, JC; ",Cover yourself with Skin,Proc. OZCHI’95,,,101-106,1995,
"Grundy, John; Zou, Wenjing; ",AUIT: Adaptable user interface technology with extended Java Server pages,Multiple User Interfaces,,,149-167,2004,"John Wiley & Sons, Ltd"
"Grundy, John Collis; Hosking, JG; Hamer, J; ",A visual programming environment for object-oriented languages,Technology of Object-oriented Languages and Systems V (TOOLS USA’91),,,129-138,1991,IEEE
"Grundy, John; Newby, Steve; Whitmore, Thomas; Grundeman, Peter; ",Extending a persistent object framework to enhance enterprise application server performance,2002 Australian Database Conference (ADC 2002),24,2,57-64,2002,"Australian Computer Society, Inc."
"Salleh, Norsaremah; Mendes, Emilia; Grundy, John; Burch, Giles St J; ",An empirical study of the effects of personality in pair programming using the five-factor model,2009 3rd International Symposium on Empirical Software Engineering and Measurement (ESEM2009),,,214-225,2009,IEEE Computer Society
"Grundy, John; Hosking, John; ",Developing adaptable user interfaces for component-based systems,First Australasian User Interface Conference (AUIC 2000),,,17-25,2000,IEEE
"Dai, Xiaoling; Grundy, John; ",Off-line micro-payment system for content sharing in P2P networks,International Conference on Distributed Computing and Internet Technology,,,297-307,2005,Springer Berlin Heidelberg
"Grundy, John C; Mugridge, Warwick B; Hosking, John G; Apperley, Mark D; ","Coordinating, capturing and presenting work contexts in CSCW systems",OZCHI'95,,,28-30,1995,
"Grundy, John; ",A comparative analysis of design principles for project-based IT courses,2nd Australasian conference on Computer science education (ACE1997),,,170-177,1997,ACM
"Dai, Xiaoling; Grundy, John; ",Customer perceptions of a thin-client micro-payment system: issues and experiences,Advanced Topics in End User Computing,3,,143,2004,IGI Global
"Stoeckle, Hermann; Grundy, John; Hosking, John; ",Approaches to supporting software visual notation exchange,2003 IEEE Conference on Human Centric Computing Languages and Environments (HCC 2003),,,59-66,2003,IEEE
"Chen, Qi; Grundy, John; Hosking, John; ",SUMLOW: early design-stage sketching of UML diagrams on an E-whiteboard,"Softw., Pract. Exper.",38,9,961-994,2008,
"Li, Lei; Hosking, John; Grundy, John; ","Visual Modelling of Complex Business Processes with Trees, Overlays and Distortion-based Displays",2007 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2007),,,137-144,2007,IEEE
