Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kanij, Tanjila; Merkel, Robert; Grundy, John; ",An Empirical Study to Review and Revise Job Responsibilities of Software Testers,IEEE Symposium on Visual Languages and Human-Centric Computing (VLHCC 2014),,,,2014,IEEE
"Grundy, JC; Mugridge, WB; Hosking, JG; ",A Java-based toolkit for the construction of multi-view editing systems,2nd  Component Users Conference (CUC1997),,,14-18,1997,
"Grundy, JC; Mugridge, WB; Hosking, JG; ",Static and dynamic visualisation of component-based software architectures,10th International Conference on Software Engineering and Knowledge Engineering (SEKE 1998),,,18-20,1998,
"Singh, S; Grundy, J; Hosking, J; Sun, J; ",An Architecture for Developing Aspect-Oriented Web Services,3rd European Conference on Web Services,,,,2005,
"Mugridge, WB; Grundy, JC; Hosking, JG; Amor, R; ",Snart94 Reference/User Manual,"Department of Computer Science, University of Auckland, Auckland, New Zealand",,,,1995,
"Liu, Na; Grundy, John; Hosking, John; ",A visual language and environment for composing web services,Proceedings of the 20th IEEE/ACM international Conference on Automated software engineering,,,321-324,2005,ACM
"Hirsch, Christian; Hosking, John; Grundy, John; ",Information retrieval and presentation methods and systems,,,,,2016,"US Patent 9,342,908"
"Hsu, Ching-Hsien; Grundy, John; ",Guest editorial: automated techniques for migrating to the Cloud (I),Automated Software Engineering,21,3,315-318,2014,Springer US
"Whitehead, Jim; Mistrík, Ivan; Grundy, John; Van der Hoek, André; ",Collaborative software engineering: concepts and techniques,Collaborative Software Engineering,,,1-30,2010,Springer Berlin Heidelberg
"Nguyen, Tuong Huan; Grundy, John; Almorsy, Mohamed; ",GUITAR: an Ontology-based Automated Requirements Analysis Tool,IEEE International Conference on Requirements Engineering (RE 2014),,,,2014,IEEE
"Ru, Jia; Grundy, John C.; Keung, Jacky; ",Software Engineering for Multi-tenancy Computing - Challenges and Implications,2014 FSE Workshop on Innovative Software Development Methodologies and Practices (InnovSWDev 2014),,,,2014,
"Grundy, John C; ",Proceedings of CBISE’98 CaiSE* 98 workshop on component based information systems engineering,,,,,1998,"University of Waikato, Department of Computer Science"
"Kamalrudin, Massila; Aiza, M Nor; Grundy, John; Hosking, John; Robinson, Mark; ",Automatic Acceptance Test Case Generation From Essential Use Cases,"13th International Conference on Intelligent Software Methodologies, Tools, and Techniques (SOMET14),",,,,2014,IOS press
"Grundy, John; ",Determining the cause of design model inconsistencies,Computer,47,8,6-6,2014,IEEE
"Hsu, Ching-Hsien; Grundy, John; ",Guest editorial: automated techniques for migrating to the cloud (II),Automated Software Engineering,21,4,439-442,2014,Springer US
"Maplesden, David; Tempero, Ewan; Hosking, John G; Grundy, John C; ",Subsuming Methods: Finding New Optimisation Opportunities in Object-Oriented Software,5th ACM/SPEC International Conference on Software Performance Engineering (ICPE 2015),,,,2015,ACM
"Kim, Chul H.; Grundy, John C.; Hosking, John G.; ",A suite of visual languages for model-driven development of statistical surveys and services,Journal of Visual Languages and Computing,26,,99–125,2015,Elsevier
"Grundy, John; ",Experiences in generating applications from domain-specific visual languages,,,,,2005,
"Maplesden, D.; von Randow, K.; Tempero, E.; Hosking, J.G.; Grundy, John C.; ",Performance Analysis using Subsuming Methods: An Industrial Case Study,IEEE/ACM International Conference on Software Engineering (ICSE 2015),,,,2015,ACM
"Maplesden, D.; Tempero, E.; Hosking, J.G.; Grundy, John C.; ",Performance Analysis for Object-Oriented Software: A Systematic Mapping,IEEE Transactions on Software Engineering,41,7,,2015,IEEE
"Avazpour, I.; Grundy, John C.; Vu, H.; ",Generating Reusable Visual Notations using Model Transformation,International Journal of Software Engineering and Knowledge Engineering,25,2,,2015,World Scientific
"Barnett, S.; Vasa, R.; Grundy, John C.; ",Bootstrapping Mobile App Development,"2015 IEEE/ACM International Conference on Software Engineering (ICSE 2015), Formal Demonstrations Track, Florence, Italy, 18-23 May 2015",,,,2015,ACM
"Chen, F.; Grundy, John C.; Schneider, J-G; Yang, Y.; He, Q.; ",StressCloud: A Tool for Analysing Performance and Energy Consumption of Cloud Applications,"2015 IEEE/ACM International Conference on Software Engineering (ICSE 2015), Formal Demonstrations Track, Florence, Italy, 18-23 May 2015",,,,2015,IEEE
"Grundy, JC; Venable, JR; ",Developing CASE tools that support integrated design notations,Proceedings of the 6th European Workshop on Next Generation of CASE Tools,,,109-116,1995,
"Apperley, MD; Gianoutsos, S; Grundy, JC; Paynter, G; Reeves, S; Venable, JR; ","A generic, lightweight collaborative notes and messaging facility for groupware applications",,,,,1996,"Working Paper, Department of Computer Science, University of Waikato"
"Almorsy, M; Ibrahim, A; Grundy, JC; ","Adaptive Security Management in SaaS Applications, Chapter 8 in Security, Privacy and Trust in Cloud Systems",,,,,2013,Springer
"Yuan, Dong.; Jin, J.; Grundy, John C.; Yang, Yun; ",A Framework for Convergence of Cloud Services and Internet of Things,19th IEEE International Conference on Computer Supported Cooperative Work in Design (CSCWD2015),,,,2015,IEEE
"Grundy, JC; Venable, J; ",Integrating CASE tools via hierarchical data model integration,,,,,1994,"Working Paper, Department of Computer Science, University of Waikato"
"Grundy, JC; Hosking, JG; ",Keeping textual and graphical views of information consistent,,,,,1996,"Working Paper, Department of Computer Science, University of Waikato"
"Helland, Therese; Grundy, John C.; Hosking, John G.; ",A service-oriented architecture for software process technology,2006 Australian Software Engineering Conference (ASWEC 2006),,,10 pp.-141,2006,IEEE
"Avazpour, I.; Grundy, John C.; Grunske, L.; ",Specifying Model Transformations by Direct Manipulation using Concrete Visual Notations and Interactive Recommendations,Journal of Visual Languages and Computing,28,,,2015,Elsevier
"Almorsy, M.; Grundy, John C.; ",Supporting Scientists in Re-engineering Sequential Programs to Parallel Using Model-driven Engineering,"1st ICSE Workshop on Software Engineering for High Performance Computing in Science (SE4HPCS  2015), Florence, Italy, May 19 2015.",,,,2015,IEEE
"Kanij, T.; Merkel, R.; Grundy, John C.; ",An Empirical Investigation of Personality Traits of Software Testers,"6th ICSE Workshop on Collaborative and Human Aspects of Software Engineering (CHASE 2015), Florence, Italy, May 18 2015.",,,,2015,IEEE
"Law, Check Yee; Grundy, John C.; Cain, Andrew; Vasa, Rajesh; ",A Preliminary Study of Open Learner Model Representation Formats to Support Formative Assessment,"2015 IEEE Computer Software and Applications Conference (COMPSAC2015), Taichung, Taiwan, July 1-5, 2015",,,,2015,IEEE
"Wünsche, Burkhard C; Kot, Blazej; Gits, Andrew; Amor, Robert; Hosking, John; Grundy, John C.; ",A framework for game engine based visualisations,"in Proceedings of 2005 Image and Vision Computing New Zealand, Nov. 2005",,,,2005,
"Ali, Norhayati Mohd; ",A Generic Visual Critic Authoring Tool,"Visual Languages and Human-Centric Computing, 2007. VL/HCC 2007. IEEE Symposium on",,,260-261,2007,IEEE
"Chen, F.; Grundy, John .C.; Schneider, J-G; Yang, Y.; He, Q.; ",Automating Performance and Energy Consumption Analysis for Cloud Applications,"IEEE SERVICES 2015 Visionary Track: The Future of Software Engineering FOR and IN Cloud, New York, USA, July 31 2015, IEEE.",,,,2015,IEEE
"Zane, S.; Salleh, N.; Grundy, John .C.; ",Mobile Application Testing in Industrial Contexts: An Exploratory Multiple Case Study,"14th International Conference on Intelligent Software Methodologies, Tools and Techniques (SOMET2015), Naples, Italy, Sept 15-17, 2015",,,,2015,Springer
"Nguyen, H.; Grundy, John C.; Almorsy, M.; ",Ontology-based Automated Support for Goal-Use case Model Analysis,Software Quality Journal,24,3,635-673,2016,Springer
"Nguyen, H.; Grundy, John C; Almorsy, M.; ",Rule-based Extraction of Goal-Use Case Models from Text,"10th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (FSE/ESEC 2015), Bargamo, Italy, August 31 – September 4, 2015",,,,2015,ACM Press
"Mistrik, I.; Soley, R.M.; Ali, N.; Grundy, John .C.; Tekinerdogan, B.; ",Software Quality Assurance,,,,,2015,Morgan Kaufmann
"Cao, S.; Grundy, John C.; Hosking, J.G.; Tempero, E.; Zhu, N.; ","An architecture for generating web-based, thin-client diagramming tools","Proceedings of the 2004 IEEE International Conference on Automated Software Engineering, Linz, Austria, September",,,20-24,2005,
"Law, C.Y.; Grundy, John .C.; Vasa, R.; Cain, A.; ",Stakeholder feedback on open learner model visualisation techniques,"2015 IEEE Symposium on Visual Languages and Human-Centric Computing (VLHCC 2015), Atlanta, USA,18-22 October 2015",,,,2015,IEEE
"Nguyen, H.; Grundy, John C.; Almorsy, M.; ",Integrating Goal-oriented and Use Case-based Requirements Engineering: The Missing Link,"18th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems (MODELS 2015), Ottawa, Canada, Sept 28-Oct 2 2015",,,,2015,Springer
"Yusop, N.S.Md.; Grundy, John C.; Vasa, Rajesh; ",Reporting Usability Defects: Limitations of Open Source Defect Repositories and Suggestions for Improvement,"2015 Australasian Conference on Software Engineering (ASWEC 2015), Adelaide, Australia, 28 Sept-1 Oct 2015",,,,2015,IEEE
"Farshchi, M.; Schneider, J.G.; Weber, Ingo; Grundy, John C.; ",Experience Report: Anomaly Detection of Cloud Application Operations Using Log and Cloud Metric Correlation Analysis,"26th IEEE International Symposium on Software Reliability Engineering, Gaithersburg, Maryland (ISSRE 2015), USA, 2-5 Nov 2015.",,,,2015,IEEE
"Ru, Jia; Grundy, John C.; Keung, Jacky; Yang, Yun; Hao, Lin; ",Providing Fairer Resource Allocation for Multi-tenant Cloud-based Systems,"7th IEEE International Conference on Cloud Computing Technology and Science (CloudCom 2015), Vancouver, BC, Canada, Nov 30-Dec 3, 2015",,,,2015,IEEE
"Barnett, S.; Avazpour, I.; Vasa, R.; Grundy, John C.; ",A Multi-view Framework for Generating Mobile Apps,"2015 IEEE International Symposium on Visual Languages and Human-Centric Computing, Atlanta, USA, Oct 15-19 2015",,,,2015,IEEE
"Maplesden, D.; Tempero, E.; Hosking, J.G.; Grundy, John C.; ",A Cost/Benefit Approach to Performance Analysis,"6th ACM/SPEC International Conference on Software Performance Engineering (ICPE 2015), Delft, Netherlands, 12-18 March, 2016",,,,2016,ACM
"Almorsy, M.; Grundy, John C.; Ibrahim, A.; ",Adaptive Software Security,"Chapter 5 in Managing trade-offs in adaptable software architectures, I. Mistrik, J. Grundy, B. Schmerl, R. Kazman, N. Ali (Eds)",,,,2016,Morgan Kaufmann
"Mistrik, I.; Grundy, John C.; Schmerl, B.; Kazman, R.; Ali, N.; ",Managing trade-offs in adaptable software architectures,,,,,2016,Morgan Kaufmann
"Avazpour, Iman; Grundy, John C.; Zhu, Liming; ",V for Variety: Lessons Learned From Complex Smart Cities Data Harmonization and Integration,"First International Workshop on Context-Aware​ Smart Cities ​and Intelligent Transport Systems (AwareCities 2016), Sydney, Australia",,,,2016,
"Versteeg, S.; Du, M.; Grundy, John C.; Schneider, J-G; Han, J.; Goyal, M.; ",Opaque Service Virtualisation: A Practical Tool for Emulating Endpoint Systems,"2016 IEEE/ACM International Conference on Software Engineering (ICSE 2016): Software Engineering in Practice Track, Austin, Texas, 14-22 May 2016",,,,2016,ACM
"Soomro, A.B.; Salleh, N.; Mendes, E.; Grundy, John C.; Burch, G.; Nordin, A.; ",The Effect of Software Engineers’ Personality traits on Team Climate and Performance: a Systematic Literature Review,Information and Software Technology,73,,pp 52–65,2016,Elsevier
"Staples, Mark; Zhu, Liming; Grundy, John C.; ",Continuous Validation for Data Analytics Systems,"2016 IEEE/ACM International Conference on Software Engineering (ICSE 2016), Visions of 2025 and Beyond Track, Austin, Texas, USA, May 14-22 2016",,,,2016,ACM
"Kamalrudin, M.; Grundy, John C.; Hosking, John G.; ",MaramaAIC: Tool Support for Consistency Management and Validation of Requirements,Automated Software Engineering,24,1,1-45,2017,Springer
"Knudson, D.; Grundy, John C.; ",International Capstone Exchange – the SUT and NDSU Experience,"2016 Capstone Design Conference, June 6-8, 2016, Columbus, OH, USA.",,,,2016,
"Moketar, N.A.; Kamalrudin, K.; Sidek, S.; Robinson, M.; Grundy, John C.; ",TestMEReq: Generating Abstract Tests for Requirements Validation,3rd International Workshop on Software Engineering Research and Industrial Practice (SER&IP),,,,2016,
"Versteeg, S.; Du, M.; Bird, J.; Schneider, J-G; Grundy, John C.; ",Enhanced Playback of Automated Service Emulation Models Using Entropy Analysis,"2016  International Workshop on Continuous Software Evolution and Delivery (CSED), May 14-15 2016",,,,2016,
"Zain, Samer; Salleh, Norsaremah; Grundy, John C.; ",A Systematic Mapping Study of Mobile Application Testing Techniques,Journal of Systems and Software,117,,334-356,2016,Elsevier
"Yusop, N.S.M.; Grundy, John C.; Vasa, R.; ",Reporting Usability Defects - Do reporters Report What Software Developers Need?,"20th International Conference on Evaluation and Assessment in Software Engineering (EASE2016), Limerick, Ireland, 1-3 June 2016,",,,,2016,ACM
"Khalajzadeh, H.; Yuan, Dong; Grundy, John C.; Yang, Yun; ",Improving Cloud-based Online Social Network Data Placement and Replication,"9th IEEE International Conference on Cloud Computing (IEEE CLOUD 2016), June 27 - July 2, 2016, San Francisco, USA",,,,2016,IEEE
"Kamalrudin, Massila; Sidek, Safiah; Yusop, Noorrezam; Grundy, John C; Hosking, John G; ",MEReq: A Tool to Capture and Validate Multi-Lingual Requirements.,SoMeT,,,231-245,2014,
"Du, Miao; Schneider, Jean-Guy; Hine, Cameron Murray; Grundy, John Collis; Han, Jun; Versteeg, Steven Cornelis; ",Message matching for opaque service virtualization,,,,,2014,"US Patent App. 14/223,607"
"Du, Miao; Versteeg, Steven Cornelis; Schneider, Jean-Guy; Han, Jun; Grundy, John Collis; ",Systems and methods for clustering trace messages for efficient opaque response generation,,,,,2014,"US Patent App. 14/305,322"
"Versteeg, Steven Cornelis; Du, Miao; Schneider, Jean-Guy; Grundy, John Collis; Han, Jun; ",Systems and methods for automatically generating message prototypes for accurate and efficient opaque service emulation,,,,,2014,"US Patent App. 14/535,950"
"Kamalrudin, M; Hosking, J; Grundy, John; ",MaramaAI: Tool support for capturing requirement and checking the inconsistency,Proc. 21st Australian Software Engineering Conference (ASWEC'10),,,,2010,
"Su, Moon Ting; Hirsch, Christian; Hosking, John; ",Kaitorobase: Visual exploration of software architecture documents,Proceedings of the 2009 IEEE/ACM International Conference on Automated Software Engineering,,,657-659,2009,IEEE Computer Society
"Tekinerdogan, Bedir; Ali, Nour; Grundy, John; Mistrik, Ivan; Soley, Richard; ",Quality concerns in large-scale and complex software-intensive systems,Software Quality Assurance: In Large Scale and Complex Software-intensive Systems,,,,2015,Morgan Kaufmann
"Liu, J.; Grundy, John C.; Abdelrazek, M.; Avazpour, I.; ",A Domain-Specific Visual Modeling Language for Testing Environment Emulation,"2016 IEEE Symposium on Visual Languages and Human-Centric Computing, Cambridge, UK, Sept 4-8 2016",,,,2016,IEEE
"Law, C.; Grundy, John C.; Cain, A.; Vasa, R.; ",Stakeholder Feedback on Open Learner Model Visualisation Technique,"2016 IEEE Symposium on Visual Languages and Human-Centric Computing, Cambridge, UK, 4-8 Sept 2016",,,,2016,IEEE
"Grundy, John Collis; ",Proceedings of the OzCHI'96 Workshop on the Next Generation of CSCW Systems,,,,,1996,"Department of Computer Science, University of Waikato"
"Abdelrazek, Mohamed Almorsy; Grundy, John; Ibrahim, Amani S; ",Improving Tenants' Trust in SaaS Applications Using Dynamic Security Monitors,"Engineering of Complex Computer Systems (ICECCS), 2015 20th International Conference on",,,70-79,2015,IEEE
"Moketar, N.A.; Kamalrudin, M.; Sidek, S.; Robinson, M.; Grundy, John C.; ",An Automated Collaborative Requirements Engineering Tool for Better Validation of Requirements,"2016 IEEE/ACM International Conference on Automated Software Engineering (ASE 2016), Singapore, Sept 3-7, 2016",,,,2016,ACM
"Liu, J.; Grundy, John C.; Abdelrazek, M.; Avazpour, I.; ",TeeVML: Tool Support for Semi-Automatic Integration Testing Environment Emulation,"2016 IEEE/ACM International Conference on Automated Software Engineering (ASE 2016), Singapore, Sept 3-7, 2016",,,,2016,ACM
"Grundy, John Collis; Hosking, John G; ",Integrated OO System Developing Using SPE,,,,,1993,"University of Auckland, Department of Computer Science"
"Grundy, John; ",Model-Driven Engineering for the Social Enterprise.,EDOC,,,39,2015,
"Grundy, John; Hosking, John; ",Guest editors introduction: special issue on innovative automated software engineering tools—part# 2,Automated Software Engineering,20,3,297-298,2013,Springer US
"Avazpour, Iman; Sadauskas, Ramuna; Grundy, John; Zhu, Liming; ","Technical Report Australian Household Travel Survey Data Integration, Harmonization and Visualization",,,,,2015,
"Grundy, John; ",Component-based Groupware: Issues and Experiences,CSCW in HCI-worldwide,,,23,1997,
"Du, Miao; Versteeg, Steve; Schneider, Jean-Guy; Grundy, John; Han, Jun; ",From network traces to system responses: Opaquely emulating software services,arXiv preprint arXiv:1510.01421,,,,2015,
"Dam, H.K.; Tran, T.; Grundy, John C.; ",DeepSoft: A vision for a deep model of software,"2016 ACM SIGSOFT International Conference on Foundations of Software Engineering (FSE 2016), Seattle, WA, USA",,,,2016,ACM
"Stojmenovic, M.; Grundy, John C.; Farrell, V.; Biddle, R.; Hoon, L.; ",Does Textual Word-of-Mouth Affect Look and Feel?,"2016 Australian Conference on Human-Computer Interaction (OZCHI 2016), Launceston, Australia, Nov 29-Dec 2 2016",,,,2016,ACM
"Lam, Luan; Tang, Antony; Grundy, John C.; ",Heuristics-based Indoor Positioning Systems: A Systematic Literature Review,Journal of Location-Based Services,,,,2017,Taylor & Francis
"Su, M.T.; Hosking, John G.; Grundy, John C.; Tempero, E.; ",Usage-based Chunking of Software Architecture Information to Assist Information Finding,Journal of Systems and Software,122,,,2016,Elsevier
"Grundy, John; Han, Jun; ","Proceedings of the 3rd Australasian Workshop on Software and System Architectures, Sydney, New South Wales, Australia, 19-20 November 2000",,,,,2000,Monash University
"Seffah, Ahmed; Javahery, Homa; ",Multiple user interfaces: cross-platform applications and context-aware interfaces,,,,,2005,John Wiley & Sons
"Mistrík, Ivan; Grundy, John; Hoek, A; Whitehead, Jim; ",Collaborative software engineering: Challenges and prospects,Collaborative Software Engineering,,,389-403,2010,
"Dai, Xiaoling; Grundy, John; Lo, BruceWN; ","Comparing and contrasting micro-payment models for E-commerce systems, Info-tech and Info-net",Proceedings. ICII,,,,2001,
"Moreira, Ana; Grundy, John; ",Early Aspects: Current Challenges and Future Directions,,,,,2007,Springer-Verlag Berlin Heidelberg
"Hirsch, Christian; Hoking, John; Grundy, John; ",Interactive visualization tools for exploring the semantic graph of large knowledge spaces,Workshop on visual interfaces to the social and semantic web (VISSW2009),,,,2009,
"Yusop, N.S.M.; Schneider, J-G.; Grundy, John C.; Vasa, R.; ",What Influences Usability Defect Reporting? – A Survey of Software Development Practitioners,"2016 Asia-Pacific Conference on Software Engineering, Hamilton, New Zealand, Dec 6-9 2016",,,,2016,IEEE
"Yusop, N.; Kamalrudin, N.; Saidek, S.; Grundy, John C.; ",Automated Support to Capture and Validate Security Requirements for Mobile Apps,"3rd Asia-Pacific Requirements Engineering Symposium (APRES2016) 2016, 10-12 November 2016, Nagoya, Japan",,,,2016,Springer
"Grundy, J; ",Aspect-Oriented Software Engineering–a Use Case Driven Approach,,,,,1992,Addison-Wesley
"Avazpour, Iman; Pitakrat, Teerat; Grunske, Lars; Grundy, John; ",Dimensions and metrics for evaluating recommendation systems,Recommendation systems in software engineering,,,245-273,2014,Springer Berlin Heidelberg
"Panas, T; Berrigan, R; Grundy, JS; ","A 3d metaphor for software production visualization. IV 2003-International Conference on Computer Visualization and Graphics Applications, 314",,,,,2003,IEEE CS Press
"Grundy, John; Moreira, Ana; ",Early Aspects: Current Challenges and Future Directions,,,,,2007,
"Law, C-Y.; Grundy, John C.; Cain, A.; Vasa, R.; Cummaudo, A.; ",User Perceptions of Using an Open Learner Model Visualisation Tool for Facilitating Self-regulated Learning,"2017 Australiasian Computing Education Conference (ACE 2017), Jan 30-Feb 3 2017, Geelong, Australia",,,,2017,ACM
"Avazpour, I.; Grundy, John C.; ",Insights into Visualizing Trajectory Recommendation Rankings,"2017 Australiasian User Interface Conference (AUIC 2017), Jan 30-Feb 3 2017, Geelong, Australia",,,,2017,ACM
"Singha, R.; Narula, A.; Grundy, John C.; ",Parametric Statecharts: Designing Flexible IoT Apps,"2017 Australiasian Computer Science Conference (ACSC 2017), Jan 30-Feb 3 2017, Geelong, Australia",,,,2017,ACM
"He, Qiang; Zhou, Rui; Zhang, X.; Wang, Y.; Ye, D.; Chen, Feifei; Grundy, John C.; Yang, Y.; ",Keyword Search for Building Service-Based Systems,IEEE Transactions on Software Engineering,,,,2017,IEEE
"Lam, Luan; Tang, Antony; Grundy, John C.; ",Characterising Indoor Positioning Estimation Using Experimental Data from an Active RFID-based Real Time Location System,Journal of Location-Based Services,,,,2017,Taylor & Francis
"Yusop, N.S.M.; Grundy, John C.; Vasa, Rajesh; ",Reporting Usability Defects: A Systematic Literature Review,"IEEE Transactions on Software Engineering,",,,,2017,IEEE
"Liu, J.; Grundy, John C.; Abdelrazek, M.; Avazpour, I.; ",Testing Environment Emulation: A Model-Driven Approach,"2017 International Conference on Model-Driven Engineering and Software Development (MODELSWARD 2017), Porto, Portugul, 19-21 February 201",,,,2017,
"Lam, L.; Tang, A.; Grundy, John C.; ",Predicting Indoor Spatial Movement Using Data Mining and Movement Patterns,"IEEE International Conference on Big Data and Smart Computing (IEEE BigComp 2017), Jeju, Korea, February 13-16, 2017",,,,2017,IEEE
"Hoda, Rashina; Salleh, Norsaremah; Grundy, John C.; Tee, H.M.; ",Systematic literature reviews in agile software development:a tertiary study,Information and Software Technology,,,,2017,Elsevier
